id, light, soil_humidity, air_humidity, temperature,
P_01_HOME,96,41,48,96,
P_03_HOME,96,41,60,96,
P_02_HOME,94,41,43,94,
P_01_HOME,95,41,47,95,
P_03_HOME,97,41,61,97,
P_02_HOME,93,40,42,93,
P_01_HOME,95,40,47,95,
P_03_HOME,99,41,61,99,
P_02_HOME,94,40,43,94,
P_01_HOME,94,40,48,94,
P_03_HOME,99,40,62,99,
P_02_HOME,93,42,43,93,
P_01_HOME,93,41,47,93,
P_03_HOME,95,41,63,95,
P_02_HOME,93,42,43,93,
P_01_HOME,95,41,47,95,
P_03_HOME,96,39,64,96,
P_02_HOME,93,40,42,93,
P_01_HOME,96,39,47,96,
P_03_HOME,95,39,64,95,
P_02_HOME,95,42,42,95,
P_01_HOME,97,39,48,97,
P_03_HOME,96,41,63,96,
P_02_HOME,95,40,43,95,
P_01_HOME,96,41,48,96,
P_03_HOME,98,41,63,98,
P_02_HOME,95,40,44,95,
P_01_HOME,97,39,49,97,
P_03_HOME,97,39,63,97,
P_02_HOME,95,41,43,95,
P_01_HOME,99,39,50,99,
P_03_HOME,97,40,64,97,
P_02_HOME,94,39,44,94,
P_01_HOME,98,41,49,98,
P_03_HOME,98,40,64,98,
P_02_HOME,93,41,44,93,
P_01_HOME,96,39,48,96,
P_03_HOME,96,42,64,96,
P_02_HOME,92,40,44,92,
P_01_HOME,97,41,49,97,
P_03_HOME,98,42,63,98,
P_02_HOME,91,40,44,91,
P_01_HOME,96,41,50,96,
P_03_HOME,96,41,63,96,
P_02_HOME,93,41,45,93,
P_01_HOME,98,41,49,98,
P_03_HOME,95,41,63,95,
P_02_HOME,95,40,46,95,
P_01_HOME,95,41,48,95,
P_03_HOME,94,39,62,94,
P_02_HOME,97,41,47,97,
P_01_HOME,94,41,48,94,
P_03_HOME,94,39,62,94,
P_02_HOME,98,41,48,98,
P_01_HOME,95,41,47,95,
P_03_HOME,96,40,62,96,
P_02_HOME,97,39,48,97,
P_01_HOME,97,40,48,97,
P_03_HOME,96,40,63,96,
P_02_HOME,97,40,47,97,
P_01_HOME,97,42,49,97,
P_03_HOME,98,40,64,98,
P_02_HOME,96,40,46,96,
P_01_HOME,99,41,48,99,
P_03_HOME,97,42,63,97,
P_02_HOME,98,42,46,98,
P_01_HOME,97,39,48,97,
P_03_HOME,99,40,63,99,
P_02_HOME,95,40,46,95,
P_01_HOME,96,39,49,96,
P_03_HOME,98,40,62,98,
P_02_HOME,97,42,46,97,
P_01_HOME,95,41,49,95,
P_03_HOME,95,41,62,95,
P_02_HOME,98,42,46,98,
P_01_HOME,96,40,50,96,
P_03_HOME,95,40,61,95,
P_02_HOME,95,40,45,95,
P_01_HOME,95,40,51,95,
P_03_HOME,97,42,62,97,
P_02_HOME,96,42,44,96,
P_01_HOME,96,40,51,96,
P_03_HOME,98,41,63,98,
P_02_HOME,96,40,44,96,
P_01_HOME,95,40,50,95,
